open,close,high,low,vol,amount,date,code,volume
188.9,186.94,191.17,180.42,54442.0,1010559424.0,2025-10-27,688018,54442.0
178.0,173.9,178.0,172.0,92385.0,1611478912.0,2025-10-28,688018,92385.0
173.0,173.86,174.71,170.01,49587.0,853006016.0,2025-10-29,688018,49587.0
173.13,165.68,173.47,165.05,63340.0,1064104576.0,2025-10-30,688018,63340.0
166.15,167.3,169.71,165.78,31574.0,529917024.0,2025-10-31,688018,31574.0
166.51,163.9,166.81,162.88,33677.0,553440192.0,2025-11-03,688018,33677.0
163.8,161.1,165.4,159.8,26775.0,434656576.0,2025-11-04,688018,26775.0
157.86,159.51,160.99,156.7,26412.0,419504672.0,2025-11-05,688018,26412.0
160.66,161.76,163.65,160.66,32356.0,524618272.0,2025-11-06,688018,32356.0
160.28,158.01,160.28,157.55,26450.0,419439264.0,2025-11-07,688018,26450.0
158.02,161.19,161.28,157.23,30433.0,483940736.0,2025-11-10,688018,30433.0
161.19,156.4,163.18,155.51,37577.0,597002240.0,2025-11-11,688018,37577.0
155.75,156.68,159.38,155.6,21499.0,338281216.0,2025-11-12,688018,21499.0
157.08,157.85,158.1,155.97,17698.0,278284896.0,2025-11-13,688018,17698.0
156.02,155.53,159.3,155.0,20106.0,316484320.0,2025-11-14,688018,20106.0
155.04,153.1,156.67,152.51,24407.0,375589472.0,2025-11-17,688018,24407.0
153.08,153.8,155.6,152.69,21800.0,336545600.0,2025-11-18,688018,21800.0
153.97,153.0,156.5,152.91,20395.0,315103232.0,2025-11-19,688018,20395.0
154.9,153.13,156.33,152.81,22517.0,347571104.0,2025-11-20,688018,22517.0
151.62,148.6,152.5,148.2,28606.0,430530368.0,2025-11-21,688018,28606.0
150.01,151.0,152.0,149.22,23039.0,347453760.0,2025-11-24,688018,23039.0
152.3,157.11,158.5,152.3,40189.0,627778048.0,2025-11-25,688018,40189.0
158.19,165.9,168.83,157.55,80582.0,1329521280.0,2025-11-26,688018,80582.0
168.23,165.81,173.01,165.33,66479.0,1125237632.0,2025-11-27,688018,66479.0
167.0,167.3,170.49,165.02,40971.0,687242752.0,2025-11-28,688018,40971.0
170.01,181.61,184.98,167.14,117274.0,2066133760.0,2025-12-01,688018,117274.0
180.66,181.95,190.0,179.79,90723.0,1668017280.0,2025-12-02,688018,90723.0
181.95,175.14,182.81,174.0,61660.0,1093749632.0,2025-12-03,688018,61660.0
172.9,173.0,174.5,167.8,55064.0,940240576.0,2025-12-04,688018,55064.0
172.0,170.06,172.26,167.03,40139.0,680213760.0,2025-12-05,688018,40139.0
170.0,169.29,171.0,168.03,47940.0,812592256.0,2025-12-08,688018,47940.0
169.43,167.25,171.5,166.01,42156.0,710365952.0,2025-12-09,688018,42156.0
165.18,168.11,168.98,164.19,29808.0,495295072.0,2025-12-10,688018,29808.0
167.0,161.84,167.88,161.84,35055.0,576355904.0,2025-12-11,688018,35055.0
160.58,169.73,169.73,158.71,72619.0,1198538496.0,2025-12-12,688018,72619.0
166.34,160.2,166.34,160.2,55593.0,901913024.0,2025-12-15,688018,55593.0
159.51,157.31,162.88,157.18,29686.0,473076960.0,2025-12-16,688018,29686.0
157.5,163.9,164.9,156.6,38510.0,618035520.0,2025-12-17,688018,38510.0
